ID plataforma anuncio mercado investimento cliques conversoes
1 Instagram Texto Alimentação 13.4956818076374 368 62
2 Google Banner Moda 7.23565172408506 614 20
3 Instagram Banner Tecnologia 10.5665050035859 520 32
4 Instagram Vídeo Moda 10.5941931402185 474 44
5 Instagram Texto Moda 11.5004775640914 293 84
6 Facebook Vídeo Alimentação 10.3046490296405 477 33
7 Instagram Texto Tecnologia 9.85775139113574 610 61
8 Google Banner Tecnologia 11.0713009612141 358 51
9 Facebook Vídeo Tecnologia 11.6972608023613 374 77
10 Google Banner Tecnologia 7.36968635851194 705 32
11 Instagram Vídeo Tecnologia 8.54484280000276 650 39
12 Instagram Texto Alimentação 9.00545190177653 458 57
13 Facebook Vídeo Alimentação 6.2356468554173 762 25
14 Facebook Banner Tecnologia 12.1757192483926 496 66
15 Instagram Texto Tecnologia 11.4788399772728 377 85
16 Google Texto Tecnologia 7.68927654586476 593 33
17 Facebook Vídeo Tecnologia 7.65847419497839 702 15
18 Facebook Banner Moda 11.1327976720286 489 42
19 Instagram Vídeo Alimentação 11.0700020518826 377 71
20 Facebook Banner Alimentação 9.39590713963364 579 40
21 Facebook Banner Alimentação 12.3483563462078 304 64
22 Google Vídeo Moda 8.08861831046811 653 33
23 Facebook Banner Tecnologia 10.3014547655536 445 30
24 Facebook Banner Alimentação 8.90018622864578 553 30
25 Instagram Banner Alimentação 11.4641619310108 421 75
26 Facebook Vídeo Alimentação 10.9108983102146 498 63
27 Instagram Vídeo Moda 11.1881433329402 422 83
28 Facebook Banner Moda 6.73986625006029 842 8
29 Google Banner Alimentação 4.43424370436369 825 2
30 Google Banner Moda 10.8437107247466 377 48
31 Facebook Banner Alimentação 8.47522592731545 613 39
32 Google Texto Tecnologia 6.34303972417727 705 13
33 Facebook Banner Moda 10.2303214775216 492 35
34 Facebook Texto Alimentação 9.85801674267949 515 81
35 Facebook Banner Moda 7.60177635204975 648 31
36 Facebook Vídeo Tecnologia 10.0043085186248 547 56
37 Facebook Texto Alimentação 6.4262862154077 675 31
38 Google Vídeo Alimentação 8.89618539688616 526 39
39 Google Banner Moda 9.00460819407128 625 43
40 Facebook Banner Alimentação 13.2968146301449 257 69
41 Instagram Banner Tecnologia 10.0802694972362 454 59
42 Facebook Texto Moda 5.61829332534211 871 16
43 Google Texto Alimentação 10.6683814108065 448 35
44 Google Banner Alimentação 11.3033638689629 490 71
45 Google Banner Moda 11.838198441285 419 69
46 Google Banner Tecnologia 11.2346869986767 492 61
47 Google Vídeo Moda 11.3481976148384 329 69
48 Facebook Texto Alimentação 11.4612043296966 448 48
49 Instagram Banner Moda 13.2312625097467 276 93
50 Instagram Vídeo Moda 9.57720428287385 398 58
51 Instagram Vídeo Alimentação 11.4526763742316 415 76
52 Facebook Banner Alimentação 10.8029086838732 560 48
53 Google Banner Moda 7.7693473353576 501 38
54 Instagram Banner Moda 10.0165897651249 474 33
55 Google Vídeo Tecnologia 11.74047333301 476 64
56 Facebook Banner Moda 9.5816496868264 561 34
57 Google Texto Alimentação 11.9479523246085 337 74
58 Instagram Banner Alimentação 6.55777425205988 818 30
59 Facebook Banner Tecnologia 11.9563662886252 391 78
60 Facebook Texto Moda 9.42021540165323 523 47
61 Google Texto Tecnologia 10.7633914758518 430 47
62 Facebook Banner Alimentação 14.4165689886724 177 74
63 Google Vídeo Alimentação 5.97210163730557 784 6
64 Google Vídeo Moda 13.1895751341194 199 71
65 Facebook Banner Alimentação 7.68715822380952 571 8
66 Facebook Banner Moda 10.1541306700282 375 39
67 Google Texto Alimentação 9.15247936000304 475 34
68 Google Vídeo Moda 6.80654684694464 844 33
69 Instagram Banner Alimentação 10.2603013759823 536 43
70 Google Banner Moda 9.04500067542782 617 55
71 Facebook Vídeo Alimentação 10.0990427775563 521 59
72 Instagram Banner Alimentação 9.31631523815899 582 33
73 Instagram Texto Alimentação 9.80441982457552 511 29
74 Instagram Vídeo Moda 9.40502419265923 531 35
75 Google Banner Tecnologia 8.42328508694071 594 30
76 Facebook Texto Tecnologia 8.51429649953326 552 36
77 Facebook Vídeo Tecnologia 12.0817121884208 296 62
78 Instagram Vídeo Alimentação 5.10106306247122 876 22
79 Google Vídeo Alimentação 10.2793304349319 608 66
80 Instagram Banner Moda 8.38660949542477 675 19
81 Facebook Banner Tecnologia 12.3505196853926 285 61
